"YearsCodePro","ConvertedCompYearly","EdLevel","Country"
4,123500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
21,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,140000,"Professional degree (JD, MD, etc.)","United States of America"
33,240000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
26,220000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
29,134217,"Some college/university study without earning a degree","United States of America"
11,128000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,175000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
37,45000,"Some college/university study without earning a degree","United States of America"
3,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,90000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
15,120000,"Some college/university study without earning a degree","United States of America"
7,2e+05,"Associate degree (A.A., A.S., etc.)","United States of America"
20,230000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
40,226000,"Some college/university study without earning a degree","United States of America"
2,90000,"Primary/elementary school","United States of America"
5,66000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
30,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,180000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
30,213000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,86000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,215000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
15,220000,"Professional degree (JD, MD, etc.)","United States of America"
16,108000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,220000,"Some college/university study without earning a degree","United States of America"
2,65000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,206500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
40,160000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
24,109000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,114000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,320000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
2,48000,"Some college/university study without earning a degree","United States of America"
10,210000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,143000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,34000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,105000,"Some college/university study without earning a degree","United States of America"
10,160000,"Some college/university study without earning a degree","United States of America"
35,260000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,174000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
24,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,113000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
27,220000,"Some college/university study without earning a degree","United States of America"
25,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
30,240000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
16,210000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,139000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
18,90000,"Some college/university study without earning a degree","United States of America"
8,183000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,68000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
26,240000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,250000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
8,97000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,290000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
35,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,1e+05,"Some college/university study without earning a degree","United States of America"
20,117000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,94000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,77000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,2e+05,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
7,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,154000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,250000,"Some college/university study without earning a degree","United States of America"
7,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,335000,"Some college/university study without earning a degree","United States of America"
2,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
27,101291,"Some college/university study without earning a degree","United States of America"
7,105000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
9,125000,"Some college/university study without earning a degree","United States of America"
10,168000,"Associate degree (A.A., A.S., etc.)","United States of America"
14,155000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,78000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
19,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,108000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,65000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
18,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,3e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,210000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,95000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,120000,"Associate degree (A.A., A.S., etc.)","United States of America"
1,138000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,115000,"Some college/university study without earning a degree","United States of America"
4,76000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,1e+05,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
4,55000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,180000,"Associate degree (A.A., A.S., etc.)","United States of America"
19,204000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
0.5,84500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,250000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,107000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
21,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,36000,"Associate degree (A.A., A.S., etc.)","United States of America"
7,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,175000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
9,110000,"Associate degree (A.A., A.S., etc.)","United States of America"
10,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,120000,"Some college/university study without earning a degree","United States of America"
25,250000,"Some college/university study without earning a degree","United States of America"
35,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,320000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,196000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,250000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,150000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
21,112500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
17,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,125000,"Some college/university study without earning a degree","United States of America"
3,108000,"Some college/university study without earning a degree","United States of America"
0.5,78000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
9,107000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,127000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,220000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
30,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
35,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,73000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,135000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
5,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
17,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,232000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
27,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,93000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
36,220000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,150500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,52000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,72000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,85000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
16,275000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,205000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,134000,"Some college/university study without earning a degree","United States of America"
4,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
22,104000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
30,120000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
7,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,2e+05,"Some college/university study without earning a degree","United States of America"
8,46000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,140000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
18,156000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,125000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,185000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,97500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,165000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,109500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,185000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
35,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,155000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
30,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,275866,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,230000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,99500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,3e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,57000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
21,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,165000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
24,94000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,56000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,130000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,105000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
7,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,151000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,99750,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
30,73000,"Some college/university study without earning a degree","United States of America"
6,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,110000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
7,108000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
31,225000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,128000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,84000,"Associate degree (A.A., A.S., etc.)","United States of America"
27,112000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,125000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,83597,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,143000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
30,85000,"Some college/university study without earning a degree","United States of America"
10,86000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
30,325000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
14,170000,"Some college/university study without earning a degree","United States of America"
2,125000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,45000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,126000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
23,205000,"Some college/university study without earning a degree","United States of America"
6,117000,"Some college/university study without earning a degree","United States of America"
6,90000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,110000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
30,170560,"Some college/university study without earning a degree","United States of America"
6,85000,"Associate degree (A.A., A.S., etc.)","United States of America"
21,275000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
20,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
13,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
24,250000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,88400,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,150000,"Associate degree (A.A., A.S., etc.)","United States of America"
12,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,141400,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,62000,"Some college/university study without earning a degree","United States of America"
13,273504,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
21,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
29,132000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
25,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,266688,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,135000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
21,105000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
20,185000,"Some college/university study without earning a degree","United States of America"
19,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,220000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,140000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
8,235000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,197000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
14,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,2e+05,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
15,147000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,2e+05,"Some college/university study without earning a degree","United States of America"
6,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
24,285000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
17,185000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
36,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,245000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,199999,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
27,3e+05,"Some college/university study without earning a degree","United States of America"
3,72000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,103700,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,103000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,120000,"Some college/university study without earning a degree","United States of America"
15,175000,"Some college/university study without earning a degree","United States of America"
1,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,195000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,85000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
13,2e+05,"Some college/university study without earning a degree","United States of America"
12,70000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
3,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
41,195000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
36,125000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
4,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,78000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
6,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,125000,"Associate degree (A.A., A.S., etc.)","United States of America"
2,86000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,170000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
15,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
16,77000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
11,91000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,130000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,220000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,109000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
32,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,124500,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,145000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
9,146000,"Associate degree (A.A., A.S., etc.)","United States of America"
8,105000,"Associate degree (A.A., A.S., etc.)","United States of America"
6,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,158000,"Some college/university study without earning a degree","United States of America"
23,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,72000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
32,80000,"Some college/university study without earning a degree","United States of America"
3,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,3e+05,"Some college/university study without earning a degree","United States of America"
11,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,240000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,127000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,116000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,50000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,170000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,147400,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,160000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,90000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
8,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,158000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,58800,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
15,111000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
14,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,92000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,99000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,180000,"Some college/university study without earning a degree","United States of America"
28,190000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
26,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
51,250000,"Some college/university study without earning a degree","United States of America"
5,32000,"Some college/university study without earning a degree","United States of America"
