"YearsCodePro","ConvertedCompYearly","EdLevel","Country"
5,145000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,80000,"Associate degree (A.A., A.S., etc.)","United States of America"
3,96300,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,55000,"Some college/university study without earning a degree","United States of America"
4,158000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,90000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
6,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,75000,"Some college/university study without earning a degree","United States of America"
8,120000,"Some college/university study without earning a degree","United States of America"
6,140000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
11,320000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
20,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
17,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,110000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,3e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,3e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,53000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
3,72000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,50000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,262000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,171000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,86000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
9,105000,"Some college/university study without earning a degree","United States of America"
2,78000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,187000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,78337,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,215000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,162373,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,55000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,125000,"Some college/university study without earning a degree","United States of America"
31,2e+05,"Some college/university study without earning a degree","United States of America"
18,160000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,110000,"Some college/university study without earning a degree","United States of America"
2,250000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,82000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
25,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
17,310000,"Associate degree (A.A., A.S., etc.)","United States of America"
20,140000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
21,95000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,265000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,135000,"Some college/university study without earning a degree","United States of America"
2,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,114000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
25,161000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
11,175000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
20,172000,"Some college/university study without earning a degree","United States of America"
8,62000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,297000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,85000,"Some college/university study without earning a degree","United States of America"
6,120000,"Some college/university study without earning a degree","United States of America"
10,225000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,220000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,180000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
5,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,162000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,115000,"Some college/university study without earning a degree","United States of America"
12,250000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,145,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,88000,"Some college/university study without earning a degree","United States of America"
6,142500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,134000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
6,175000,"Some college/university study without earning a degree","United States of America"
7,1e+05,"Professional degree (JD, MD, etc.)","United States of America"
4,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,147000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,165000,"Some college/university study without earning a degree","United States of America"
8,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,116000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
16,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,135000,"Some college/university study without earning a degree","United States of America"
2,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,61000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
24,178000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,160000,"Professional degree (JD, MD, etc.)","United States of America"
2,89000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,50000,"Associate degree (A.A., A.S., etc.)","United States of America"
13,185000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,320000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,62500,"Some college/university study without earning a degree","United States of America"
3,105000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,128750,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
3,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,125000,"Associate degree (A.A., A.S., etc.)","United States of America"
4,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,170000,"Some college/university study without earning a degree","United States of America"
4,1e+05,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
0.5,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
13,2e+05,"Some college/university study without earning a degree","United States of America"
2,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,95000,"Some college/university study without earning a degree","United States of America"
9,81000,"Associate degree (A.A., A.S., etc.)","United States of America"
7,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,105000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,195000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,181000,"Associate degree (A.A., A.S., etc.)","United States of America"
11,145000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,82000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,180000,"Some college/university study without earning a degree","United States of America"
8,230000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,204000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,236000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
20,112000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
16,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,122500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,91000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,150000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
0.5,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,240000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,92000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,95000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
0.5,45000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
16,140000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
1,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,1e+05,"Some college/university study without earning a degree","United States of America"
5,85000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,230000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
8,165000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,180000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
22,120000,"Some college/university study without earning a degree","United States of America"
3,85000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
12,250000,"Some college/university study without earning a degree","United States of America"
24,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,280000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,93000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,170000,"Some college/university study without earning a degree","United States of America"
7,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,115000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,151000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
6,2e+05,"Associate degree (A.A., A.S., etc.)","United States of America"
7,159000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,55000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,70000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
